time s,x m,c numerical mol m3,c reference mol m3,error signed mol m3,abs error mol m3
0.002,0.0,4.294967295999984e-07,7.744196727554886e-06,-7.314699997954888e-06,7.314699997954888e-06
0.002,0.025,2.1474836479999942e-06,1.479588216521388e-05,-1.2648398517213886e-05,1.2648398517213886e-05
0.002,0.05,1.374389534719997e-05,4.5799190462547656e-05,-3.205529511534769e-05,3.205529511534769e-05
0.002,0.07500000000000001,6.442450943999989e-05,0.00013979378649658925,-7.536927705658936e-05,7.536927705658936e-05
0.002,0.1,0.00024561844223999963,0.00039811507879286556,-0.00015249663655286593,0.00015249663655286593
0.002,0.125,0.000791132975923199,0.0010538958674880805,-0.00026276289156488154,0.00026276289156488154
0.002,0.15000000000000002,0.0022227797934079975,0.0025940603960636632,-0.0003712806026556657,0.0003712806026556657
0.002,0.17500000000000002,0.005545151745228794,0.005940885840745258,-0.0003957340955164637,0.0003957340955164637
0.002,0.2,0.01246840246763519,0.012669787240370323,-0.00020138477273513346,0.00020138477273513346
0.002,0.225,0.025528161533951984,0.025185854333904273,0.00034230720004771106,0.00034230720004771106
0.002,0.25,0.04800884747796477,0.04672070053417801,0.001288146943786761,0.001288146943786761
0.002,0.275,0.08348531425279998,0.08098550856795024,0.00249980568484974,0.00249980568484974
0.002,0.30000000000000004,0.13501913681100797,0.13137812356269352,0.003641013248314451,0.003641013248314451
0.002,0.325,0.20405353636167678,0.19981387022937983,0.004239666132296954,0.004239666132296954
0.002,0.35000000000000003,0.289378747809792,0.2854807572391317,0.0038979905706603146,0.0038979905706603146
0.002,0.375,0.3864637920509952,0.383985414361386,0.002478377689609179,0.002478377689609179
0.002,0.4,0.487531382784,0.48732634066126596,0.00020504212273403377,0.00020504212273403377
0.002,0.42500000000000004,0.582460747186176,0.5848730495817995,-0.0024123023956235112,0.0024123023956235112
0.002,0.45,0.660375881023488,0.6651586826401641,-0.004782801616676102,0.004782801616676102
0.002,0.47500000000000003,0.71160559190016,0.7180069315486851,-0.006401339648525073,0.006401339648525073
0.002,0.5,0.729470489493504,0.7364475227170275,-0.006977033223523499,0.006977033223523499
0.002,0.525,0.71160559190016,0.7180069315486851,-0.006401339648525073,0.006401339648525073
0.002,0.55,0.660375881023488,0.6651586826401641,-0.004782801616676102,0.004782801616676102
0.002,0.5750000000000001,0.582460747186176,0.5848730495817991,-0.002412302395623067,0.002412302395623067
0.002,0.6000000000000001,0.487531382784,0.4873263406612655,0.00020504212273447786,0.00020504212273447786
0.002,0.625,0.38646379205099524,0.383985414361386,0.0024783776896092347,0.0024783776896092347
0.002,0.65,0.289378747809792,0.28548075723913163,0.00389799057066037,0.00389799057066037
0.002,0.675,0.2040535363616768,0.19981387022937971,0.004239666132297093,0.004239666132297093
0.002,0.7000000000000001,0.135019136811008,0.13137812356269346,0.003641013248314534,0.003641013248314534
0.002,0.7250000000000001,0.08348531425279998,0.08098550856794975,0.002499805684850226,0.002499805684850226
0.002,0.75,0.04800884747796478,0.046720700534177956,0.0012881469437868234,0.0012881469437868234
0.002,0.775,0.025528161533951987,0.025185854333904273,0.00034230720004771453,0.00034230720004771453
0.002,0.8,0.012468402467635191,0.012669787240370267,-0.0002013847727350762,0.0002013847727350762
0.002,0.8250000000000001,0.005545151745228794,0.005940885840745147,-0.00039573409551635266,0.00039573409551635266
0.002,0.8500000000000001,0.0022227797934079975,0.00259406039606358,-0.00037128060265558243,0.00037128060265558243
0.002,0.875,0.000791132975923199,0.0010538958674880528,-0.0002627628915648538,0.0002627628915648538
0.002,0.9,0.00024561844223999963,0.00039811507879281005,-0.00015249663655281042,0.00015249663655281042
0.002,0.925,6.442450943999989e-05,0.00013979378649658925,-7.536927705658936e-05,7.536927705658936e-05
0.002,0.9500000000000001,1.374389534719997e-05,4.579919046238112e-05,-3.205529511518116e-05,3.205529511518116e-05
0.002,0.9750000000000001,2.1474836479999942e-06,1.4795882165186125e-05,-1.264839851718613e-05,1.264839851718613e-05
0.002,1.0,4.294967295999984e-07,7.744196727499375e-06,-7.3146999978993765e-06,7.3146999978993765e-06
